Year,Quarter,Yearquarter,Start_Date,end_Date,zero
2019,1,2019Q1,1/1/2019,3/31/2019,0
2019,2,2019Q2,4/1/2019,6/30/2019,0
2019,3,2019Q3,7/1/2019,9/30/2019,0
2019,4,2019Q4,10/1/2019,12/31/2019,0
2020,1,2020Q1,1/1/2020,3/31/2020,0
2020,2,2020Q2,4/1/2020,6/30/2020,0
2020,3,2020Q3,7/1/2020,9/30/2020,0
2020,4,2020Q4,10/1/2020,12/31/2020,0
2021,1,2021Q1,01/01/2021,3/31/2021,0
2021,2,2021Q2,4/1/2021,6/30/2021,0
2021,3,2021Q3,7/1/2021,9/30/2021,0
2021,4,2021Q4,10/1/2021,12/31/2021,0
2022,1,2022Q1,01/01/2022,03/31/2022,0
2022,2,2022Q2,4/1/2022,6/30/2022,0
2022,3,2022Q3,7/1/2022,9/30/2022,0
2022,4,2022Q4,10/1/2022,12/31/2022,0
